"probability_of_success_mixmod","CI_lb_mixmod","CI_ub_mixmod","probability_of_success_binom","CI_lb_binom","CI_ub_binom","trial_number","reward_type","trial_type"
0.519999998549081,0.371658186718733,0.664897208913046,0.52,0.366708900002421,0.670687170694017,100,"erotic","pure"
0.515,0.409087396635791,0.619582217031935,0.515,0.406585378099304,0.622434802507869,200,"erotic","pure"
0.523333330230534,0.436326522591951,0.608946634459494,0.523333333333333,0.43474359711347,0.610907345405496,300,"erotic","pure"
0.515,0.43968208174262,0.589642678800222,0.515,0.438451811835993,0.5910588584181,400,"erotic","pure"
0.5,0.432804923180297,0.567195076819703,0.5,0.431750115583637,0.568249884416363,500,"erotic","pure"
0.508333333333333,0.446813841414578,0.569601476430694,0.508333333333333,0.445973028687464,0.570512672788494,600,"erotic","pure"
0.494285714285714,0.437474970487829,0.55124440268486,0.494285714285714,0.43670532363,0.551972402757254,700,"erotic","pure"
0.49375,0.440582170648552,0.547059569202207,0.49375,0.439908272247244,0.547693403114463,800,"erotic","pure"
0.495555555758544,0.445383285359335,0.545817495661396,0.495555555555556,0.444790629336444,0.546384719839922,900,"erotic","pure"
0.500000000000054,0.452341878010914,0.547658121989193,0.5,0.451820907839984,0.548179092160016,1000,"erotic","pure"
0.490909091286558,0.445539041678222,0.536429391159138,0.490909090909091,0.445044656489241,0.536880944267525,1100,"erotic","pure"
0.494166666666667,0.450686257850884,0.537735492400185,0.494166666666667,0.450240616302349,0.538155878279355,1200,"erotic","pure"
0.493846153846154,0.452064090703835,0.535714351373784,0.493846153846154,0.451652766629281,0.536101027823807,1300,"erotic","pure"
0.493571428660898,0.453303111750565,0.53392332582552,0.493571428571429,0.452921010633178,0.534281473057576,1400,"erotic","pure"
0.488,0.449131970139785,0.527013686732095,0.488,0.448765927317619,0.52733792812078,1500,"erotic","pure"
0.488125000000001,0.450483319576528,0.52590184513837,0.488125,0.450140574817802,0.526205751886584,1600,"erotic","pure"
0.488817284651444,0.452090991594507,0.525664704084582,0.488823529411765,0.451973515309576,0.525758851617894,1700,"erotic","pure"
0.491666666666667,0.456143561383204,0.527274121204239,0.491666666666667,0.45584454689694,0.527548846911498,1800,"erotic","pure"
0.492105263157896,0.457522902179117,0.526763341424516,0.492105263157895,0.457240369460425,0.527024050940962,1900,"erotic","pure"
0.4965,0.462766188371165,0.530265706479176,0.4965,0.462503791238437,0.530518902953004,2000,"erotic","pure"
0.495714285714286,0.462795061207282,0.528670709522789,0.495714285714286,0.46254378028694,0.528911252100676,2100,"erotic","pure"
0.495005058421848,0.462663133175776,0.527388839614612,0.495,0.462597904288585,0.527431558807727,2200,"erotic","pure"
0.49042703462361,0.45877614418523,0.522154859704011,0.490434782608696,0.458764903896021,0.52215856667996,2300,"erotic","pure"
0.491666666666667,0.460885005046244,0.522511643183216,0.491666666666667,0.460661383496504,0.522716949494539,2400,"erotic","pure"
0.490388647957274,0.459900921790406,0.520948038728174,0.4904,0.46002817301268,0.520821586182455,2500,"erotic","pure"
0.490384615384616,0.46081214561808,0.520024535144211,0.490384615384615,0.460604793476566,0.520212353088226,2600,"erotic","pure"
0.491481481481482,0.462455176803973,0.520565333307458,0.491481481481481,0.462256565204561,0.520747270294608,2700,"erotic","pure"
0.490357142857145,0.461857038789736,0.518920068150977,0.490357142857143,0.461664543976114,0.519094351275935,2800,"erotic","pure"
0.491724137931035,0.463712255162247,0.519788081786532,0.491724137931034,0.463527925993375,0.519957311066219,2900,"erotic","pure"
0.492,0.464456752078701,0.519591898487886,0.492,0.464278585290532,0.519755949164924,3000,"erotic","pure"
0.490645161290322,0.463553833165117,0.517791547444798,0.490645161290323,0.463380268384103,0.517949130529339,3100,"erotic","pure"
