"probability_of_success_mixmod","CI_lb_mixmod","CI_ub_mixmod","probability_of_success_binom","CI_lb_binom","CI_ub_binom","trial_number","reward_type"
0.549999999998043,0.451825687640697,0.644428668090179,0.55,0.447280188773936,0.649679770760328,100,"erotic"
0.549999999999802,0.480533237971686,0.617570242451139,0.55,0.478249310993538,0.620246410021115,200,"erotic"
0.556666666664621,0.499965081121413,0.611929259735101,0.556666666666667,0.498460793984672,0.61374234738033,300,"erotic"
0.532384498591425,0.480651818018786,0.583430147765749,0.5325,0.48226871689638,0.582246996120158,400,"erotic"
0.526528905310801,0.479485079360909,0.573106381005113,0.526,0.481190006232365,0.570500874711753,500,"erotic"
0.512435359599892,0.46813238153514,0.556543814280678,0.513333333333333,0.472525265452583,0.554009568661072,600,"erotic"
0.509006835520629,0.467750165086805,0.550141184686817,0.508571428571429,0.470853386708767,0.546216944910369,700,"erotic"
0.504379426352608,0.466501052366595,0.542207595314341,0.50375,0.468519138327691,0.53895313467172,800,"erotic"
0.485130434983234,0.446474478591092,0.523965126042282,0.485555555555556,0.452440620526804,0.518765319697703,900,"erotic"
0.479285921358962,0.442695372376029,0.516100077343384,0.479,0.447638431232739,0.510485532231178,1000,"erotic"
0.477676901804752,0.443746933220723,0.511814133853664,0.477272727272727,0.447395698346775,0.507271618929328,1100,"erotic"
0.485614709830369,0.454236308253593,0.517106927141394,0.485,0.456372751957146,0.513700920480124,1200,"erotic"
0.481946802478459,0.451636367570115,0.512390682550258,0.481538461538462,0.454060502272295,0.509100065830455,1300,"erotic"
0.483854109229606,0.454647752201594,0.513171180392023,0.483571428571429,0.457095188545465,0.51011674566125,1400,"erotic"
0.497466462261742,0.468175184050207,0.526775141027461,0.495333333333333,0.469728275204933,0.520956695456233,1500,"erotic"
0.49230119523166,0.464893075325066,0.519755671429096,0.491875,0.467100200419899,0.516679662134824,1600,"erotic"
0.494689915880054,0.468790842625553,0.520617518161171,0.494117647058824,0.470084701927337,0.518170931466313,1700,"erotic"
0.497619094078065,0.472590952749442,0.52265917271352,0.497222222222222,0.47386690852737,0.520586603330549,1800,"erotic"
0.497080466342572,0.473308140420411,0.520865999224117,0.496842105263158,0.474116664103664,0.519577308477949,1900,"erotic"
0.495585401910398,0.472917585495194,0.518271381101762,0.4955,0.473358046033914,0.517655164802039,2000,"erotic"
0.495360356653993,0.472963249167267,0.517776100328027,0.495238095238095,0.473635312163866,0.516854188064752,2100,"erotic"
0.496051577690223,0.474245637298476,0.517872549140618,0.495909090909091,0.474806475571175,0.517022617523884,2200,"erotic"
0.490372632070551,0.46892604802632,0.511854713231671,0.490434782608696,0.469810310864118,0.511083650681807,2300,"erotic"
0.48835923846972,0.467134237727806,0.509626298509163,0.488333333333333,0.46815123237903,0.50854394309388,2400,"erotic"
0.490986029808029,0.470408397269837,0.511594252610199,0.4908,0.471024180763171,0.510597395829102,2500,"erotic"
0.49009560308767,0.470139268219925,0.510083556186786,0.49,0.470612935668819,0.509409609840231,2600,"erotic"
0.491206304870816,0.471561281231637,0.510878524298977,0.491111111111111,0.472087438905247,0.510154077239987,2700,"erotic"
0.492288465042552,0.472798516681656,0.511801881514746,0.492142857142857,0.473463060457965,0.510839095725211,2800,"erotic"
0.490780396390538,0.471339894397287,0.510248823066956,0.490689655172414,0.47233975380901,0.509058363842951,2900,"erotic"
0.489337659456303,0.470293332229304,0.508412987828064,0.489333333333333,0.471296583608847,0.507390908012914,3000,"erotic"
0.488768815923508,0.470179833807968,0.507388913215616,0.488709677419355,0.470969559859273,0.506471122616878,3100,"erotic"
0.48814555095008,0.469845221733455,0.506477713943341,0.488125,0.470667390781514,0.50560433657036,3200,"erotic"
0.490377363278055,0.472622006229753,0.5081570310571,0.49030303030303,0.473110413613399,0.507512848758376,3300,"erotic"
0.489711585453927,0.472025838445302,0.507423125476713,0.489705882352941,0.472770798015522,0.506658687868305,3400,"erotic"
0.488851218841047,0.471574675907286,0.506154437552872,0.488857142857143,0.472168838620988,0.505564078483524,3500,"erotic"
0.489206300052911,0.472255851135011,0.506181606708243,0.489166666666667,0.472712981938443,0.505637959521018,3600,"erotic"
0.488121801349584,0.471483313756982,0.504786652318137,0.488108108108108,0.471881499146508,0.504353520727589,3700,"erotic"
0.487893774138814,0.471125825147616,0.504689014139105,0.487894736842105,0.471884887636744,0.503923220879268,3800,"erotic"
0.487439570160116,0.47077202346738,0.504135096384004,0.487435897435897,0.471634759080543,0.503255878601388,3900,"erotic"
0.489266119995441,0.47300160736831,0.505553390737683,0.48925,0.473646340284078,0.504869376830028,4000,"erotic"
0.489287663775952,0.473288146710874,0.505309158603953,0.489268292682927,0.473857373809876,0.504694517394921,4100,"erotic"
0.491226867582341,0.47531783070261,0.507153693461436,0.491190476190476,0.47596289482934,0.506430321339977,4200,"erotic"
0.491948163211202,0.476202751412868,0.507709564935447,0.491860465116279,0.476811397214446,0.50692059935574,4300,"erotic"
0.491403148667112,0.475814892406789,0.507008139663576,0.491363636363636,0.476488293236751,0.506250453206526,4400,"erotic"
0.491834785445435,0.476387083027241,0.507298095595074,0.491777777777778,0.477069271820508,0.506496963384897,4500,"erotic"
0.489970193687472,0.47464853400499,0.505310720394145,0.49,0.475455368834311,0.504557336284608,4600,"erotic"
0.491169799828628,0.476036677546783,0.506319122212802,0.491063829787234,0.476674523745672,0.505464246679512,4700,"erotic"
0.492807672071966,0.477772396605449,0.507855968650393,0.492708333333333,0.478468915569563,0.506956627514791,4800,"erotic"
0.493080834652737,0.478169366601869,0.508004623147601,0.493061224489796,0.478968443048536,0.50716227961182,4900,"erotic"
0.494039447110668,0.479290089979715,0.508799186457036,0.494,0.480048876679226,0.507958133904969,5000,"erotic"
0.495444092977322,0.480836745878821,0.510059221783181,0.495294117647059,0.481480200200539,0.509113425306498,5100,"erotic"
0.495270620963829,0.480866654003953,0.509682442702597,0.495192307692308,0.481512793188725,0.508877222666505,5200,"erotic"
0.49471670678766,0.480358083888666,0.509084050007218,0.494716981132075,0.481168340816816,0.508271443402812,5300,"erotic"
0.496225962200291,0.481955536435958,0.510502539478496,0.496111111111111,0.482688197196794,0.509538230930789,5400,"erotic"
0.496027876243683,0.481905565437886,0.510156527887372,0.496,0.482700518016685,0.50930372907065,5500,"erotic"
0.496658490275674,0.48262883572062,0.510693408747154,0.496607142857143,0.483427243385482,0.509790580170942,5600,"erotic"
0.49652828736408,0.482733848516561,0.510328013453734,0.496491228070175,0.483428247218226,0.509557803178823,5700,"erotic"
0.496592842196135,0.483031157383008,0.510159542232532,0.496551724137931,0.483602492669266,0.509504426741727,5800,"erotic"
0.496297876646815,0.482800858475228,0.509800292583698,0.496271186440678,0.483433019841286,0.509113042694333,5900,"erotic"
0.496577690515558,0.483214658325606,0.509945613715736,0.4965,0.48376975804387,0.509233647245564,6000,"erotic"
0.495778459356973,0.482513069498272,0.509049795238618,0.495737704918033,0.483113377330667,0.508366111206773,6100,"erotic"
0.496894242356173,0.483725801397601,0.510066993392956,0.496774193548387,0.48425200899075,0.509299414977618,6200,"erotic"
0.495745417676086,0.482692885343721,0.50880375178394,0.495714285714286,0.483293154846681,0.508139386987135,6300,"erotic"
0.495300295200924,0.482397216926691,0.508209636676287,0.4953125,0.482989627185135,0.507639647325862,6400,"erotic"
0.495399675168775,0.482629211043782,0.508176144567268,0.495384615384615,0.483157398603657,0.507615975912422,6500,"erotic"
0.49535919586686,0.482726811360464,0.507997508193991,0.49530303030303,0.483169381875886,0.507440831583934,6600,"erotic"
0.495253291896607,0.482754094819438,0.507758424949113,0.495223880597015,0.483181688794083,0.507270231964768,6700,"erotic"
0.495477173657649,0.48311970010316,0.507840175479774,0.495441176470588,0.483488215801948,0.507398048849025,6800,"erotic"
0.497339700866543,0.485056058603565,0.509626555315101,0.497246376811594,0.485379758897591,0.509115323105618,6900,"erotic"
